German,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,to me
mit,with
wie,How
den,the
mich,me
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,at
bin,am
noch,still
nur,only
da,there
dir,to you
sich,itself
einen,a
uns,us
hast,have
kann,can
gut,good
auch,also
als,as
sein,be
mal,just
jetzt,now
dann,then
aus,out of
um,around
im,in the
wird,becomes
mein,my
bist,are you
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,S
nichts,nothing
man,man
muss,must
werden,become
will,want
ihnen,them
geht,goes
wo,where
etwas,something
oh,Oh
mehr,more
also,so
bitte,please
hab,have
warum,Why
vor,before
los,Come on
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,all
mann,man
tun,do
ihm,him
gehen,go
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,her
diese,this
euch,you
einer,one
komm,come
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
einfach,simply
leben,life
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
weißt,white
ok,OK
sicher,secure
gesagt,said
bis,until
wurde,became
leid,sorrow
na,n / A
kannst,can
macht,might
dieser,this
zurück,return
lassen,permit
hallo,Hello
meinen,think
gott,God
seine,his
zwei,two
könnte,could
genau,Exactly
waren,were
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,nice
glaube,believe
mr.,mr.
ab,away
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
raus,out
gemacht,made
paar,pair
mach,make
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,self
gehört,heard
ohne,without
hör,listening
her,from
sag,say
anderen,others
helfen,help
nacht,night
finden,find
diesen,this
gute,good
wirst,become
lange,longing
natürlich,naturally
meinem,my
gar,even
ins,into the
sei,may be
dort,there
weiter,further
geben,give
seit,since
gleich,even
sagt,says
recht,right
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
davon,of that
dafür,for this
geh,walk
diesem,this
wegen,because of
hause,home
sollten,should
mädchen,girl
hin,there
sollen,should
abend,evening
haus,a house
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
menschen,people
essen,eat
angst,fear
bleiben,remain
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,is correct
nehmen,take
eines,one
glauben,believe
bringen,bring
ganze,entire
genug,enough
scheiße,Fuck
brauchen,need
moment,moment
junge,young
steht,stands
musik,music
seid,are
ihrer,of their
fragen,questions
herr,Mr
